PFT,log10(H),log10(RD)
Liana,0.11481482,-0.69758064
Liana,0.096296296,-0.3951613
Liana,0.22962964,-0.44959676
Liana,0.34074074,-0.34375
Liana,0.5407407,-0.11391129
Liana,0.7814815,-0.041330647
Liana,1.5851852,0.32157257
Liana,1.4777777,0.12802419
Liana,1.5,-0.059475806
Liana,1.4925926,-0.08971774
Liana,1.562963,-0.20766129
Liana,1.1592592,-0.18346775
Liana,0.45185184,-0.2983871
Liana,0.61851853,-0.2983871
Liana,0.75555557,-0.2983871
Liana,0.7777778,-0.32862905
Liana,0.4814815,-0.37701613
Evergreen,-0.36666667,-0.59778225
Evergreen,-0.15555556,-0.34375
Evergreen,-0.26666668,-0.2046371
Evergreen,-0.07777778,-0.15020162
Evergreen,0.033333335,-0.18649194
Evergreen,0.8740741,0.17641129
Evergreen,1.0259259,0.27620968
Evergreen,1.0888889,0.32459676
Evergreen,1.0666667,0.4516129
Evergreen,1.0333333,0.578629
Deciduous,-0.14814815,-0.46169356
Deciduous,-0.19629629,-0.2953629
Deciduous,-0.17777778,-0.27116936
Deciduous,-0.12962963,-0.25907257
Deciduous,0.06666667,-0.22883065
Deciduous,0.096296296,-0.53125
Deciduous,0.22222222,-0.51915324
Deciduous,0.32592592,-0.46169356
Deciduous,0.21481481,-0.3044355
Deciduous,0.2888889,-0.31048387
Deciduous,0.33703703,-0.28629032
Deciduous,0.32962963,-0.31048387
Deciduous,0.29259259,-0.22883065
Deciduous,0.2777778,-0.22580644
Deciduous,0.21481481,-0.15020162
Deciduous,0.27407408,-0.09576613
Deciduous,0.38518518,-0.07762097
Deciduous,0.42592594,-0.008064516
Deciduous,0.3888889,-0.14717741
Deciduous,0.4037037,-0.19556452
Deciduous,0.45185184,-0.22580644
Deciduous,0.42222223,-0.25
Deciduous,0.56666666,-0.14717741
Deciduous,0.8851852,-0.13810484
Deciduous,1.1259259,0.30342743
Deciduous,1.1925926,0.25201613
Deciduous,1.1,0.22782259
Deciduous,1.0407407,0.23084678
Deciduous,1.0407407,0.19455644
Deciduous,1.0222223,0.16733871
Deciduous,1.0296296,0.11592742
Deciduous,1.1518519,0.13709678
Deciduous,1.0407407,0.04637097
Deciduous,1.074074,0.004032258
Deciduous,1.1259259,-0.05645161
